image_id,run_model,status,error_message,model_id,model_split,id_match,split_match,ground_truth_total_calories,gemini_total_calories,abs_error_total_calories,pct_error_total_calories,ground_truth_total_protein,gemini_total_protein,abs_error_total_protein,pct_error_total_protein,ground_truth_total_carb,gemini_total_carb,abs_error_total_carb,pct_error_total_carb,ground_truth_total_fat,gemini_total_fat,abs_error_total_fat,pct_error_total_fat,ground_truth_total_mass,gemini_total_mass,abs_error_total_mass,pct_error_total_mass,raw_model_json
dish_1558116146,gemini-2.5-flash,ok,,dish_1558116146,test,True,True,76.589996,69.000000,7.589996,9.909905,0.777000,0.720000,0.057000,7.335907,19.980001,18.100000,1.880001,9.409414,0.222000,0.160000,0.062000,27.927928,111.000000,100.000000,11.000000,9.909910,"{""id"": ""dish_1558116146"", ""split"": ""test"", ""ingredients"": [{""id"": ""grape"", ""name"": ""grape"", ""grams"": 100, ""calories"": 69, ""fat"": 0.16, ""carb"": 18.1, ""protein"": 0.72}], ""total_calories"": 69, ""total_mass"": 100, ""total_fat"": 0.16, ""total_carb"": 18.1, ""total_protein"": 0.72}"
dish_1563207277,gemini-2.5-flash,ok,,dish_1563207277,test,True,True,153.089996,86.000000,67.089996,43.823893,1.300000,1.600000,0.300000,23.076923,23.700001,20.100000,3.600001,15.189877,6.100000,0.100000,6.000000,98.360656,106.000000,100.000000,6.000000,5.660377,"{""id"": ""dish_1563207277"", ""split"": ""test"", ""ingredients"": [{""id"": ""sweet potato"", ""name"": ""sweet potato"", ""grams"": 100, ""calories"": 86, ""fat"": 0.1, ""carb"": 20.1, ""protein"": 1.6}], ""total_calories"": 86, ""total_mass"": 100, ""total_fat"": 0.1, ""total_carb"": 20.1, ""total_protein"": 1.6}"
dish_1567024252,gemini-2.5-flash,ok,,dish_1567024252,test,True,True,512.015808,544.000000,31.984192,6.246720,22.622000,27.200000,4.578000,20.236937,49.058388,58.100000,9.041612,18.430308,25.921192,21.900000,4.021192,15.513145,454.000000,550.000000,96.000000,21.145374,"{""id"": ""dish_1567024252"", ""split"": ""test"", ""ingredients"": [{""id"": ""cauliflower"", ""name"": ""cauliflower"", ""grams"": 100, ""calories"": 25, ""fat"": 0.3, ""carb"": 5, ""protein"": 1.9}, {""id"": ""zucchini"", ""name"": ""zucchini"", ""grams"": 100, ""calories"": 17, ""fat"": 0.3, ""carb"": 3.1, ""protein"": 1.2}, {""id"": ""pizza"", ""name"": ""pizza"", ""grams"": 150, ""calories"": 390, ""fat"": 15, ""carb"": 45, ""protein"": 18}, {""id"": ""mixed_greens_salad"", ""name"": ""mixed greens salad"", ""grams"": 100, ""calories"": 15, ""fat"": 0.2, ""carb"": 3, ""protein"": 1.2}, {""id"": ""cherry_tomatoes"", ""name"": ""cherry tomatoes"", ""grams"": 50, ""calories"": 9, ""fat"": 0.1, ""carb"": 2, ""protein"": 0.5}, {""id"": ""red_onion"", ""name"": ""red onion"", ""grams"": 20, ""calories"": 8, ""fat"": 0.02, ""carb"": 1.8, ""protein"": 0.2}, {""id"": ""feta_cheese"", ""name"": ""feta cheese"", ""grams"": 30, ""calories"": 80, ""fat"": 6, ""carb"": 1.2, ""protein"": 4.2}], ""total_calories"": 544, ""total_mass"": 550, ""total_fat"": 21.9, ""total_carb"": 58.1, ""total_protein"": 27.2}"
dish_1564690138,gemini-2.5-flash,ok,,dish_1564690138,test,True,True,190.499496,140.000000,50.499496,26.508992,10.031026,8.600000,1.431026,14.265998,24.872919,25.300000,0.427081,1.717052,6.844433,1.800000,5.044433,73.701255,181.000000,220.000000,39.000000,21.546961,"{""id"": ""dish_1564690138"", ""split"": ""test"", ""ingredients"": [{""id"": ""ing_10000"", ""name"": ""chickpeas"", ""grams"": 50, ""calories"": 89, ""fat"": 1.3, ""carb"": 14.9, ""protein"": 4.5}, {""id"": ""ing_10001"", ""name"": ""green beans"", ""grams"": 70, ""calories"": 22, ""fat"": 0.1, ""carb"": 4.9, ""protein"": 1.2}, {""id"": ""ing_10002"", ""name"": ""romanesco broccoli"", ""grams"": 80, ""calories"": 24, ""fat"": 0.3, ""carb"": 4.8, ""protein"": 2.4}, {""id"": ""ing_10003"", ""name"": ""arugula"", ""grams"": 20, ""calories"": 5, ""fat"": 0.1, ""carb"": 0.7, ""protein"": 0.5}], ""total_calories"": 140, ""total_mass"": 220, ""total_fat"": 1.8, ""total_carb"": 25.3, ""total_protein"": 8.6}"
dish_1561666923,gemini-2.5-flash,ok,,dish_1561666923,test,True,True,539.638550,712.000000,172.361450,31.940166,34.942749,49.700000,14.757251,42.232656,55.690098,73.400000,17.709902,31.800810,22.059612,26.700000,4.640388,21.035674,425.000000,570.000000,145.000000,34.117647,"{""id"": ""dish_1561666923"", ""split"": ""test"", ""ingredients"": [{""id"": ""ingredient_1"", ""name"": ""lettuce"", ""grams"": 80.0, ""calories"": 12.0, ""fat"": 0.2, ""carb"": 2.4, ""protein"": 0.8}, {""id"": ""ingredient_2"", ""name"": ""spinach"", ""grams"": 50.0, ""calories"": 12.0, ""fat"": 0.2, ""carb"": 2.0, ""protein"": 1.5}, {""id"": ""ingredient_3"", ""name"": ""corn on the cob"", ""grams"": 100.0, ""calories"": 86.0, ""fat"": 1.2, ""carb"": 19.0, ""protein"": 3.2}, {""id"": ""ingredient_4"", ""name"": ""chicken"", ""grams"": 120.0, ""calories"": 200.0, ""fat"": 10.0, ""carb"": 0.0, ""protein"": 25.0}, {""id"": ""ingredient_5"", ""name"": ""green beans"", ""grams"": 70.0, ""calories"": 22.0, ""fat"": 0.1, ""carb"": 5.0, ""protein"": 1.2}, {""id"": ""ingredient_6"", ""name"": ""pizza"", ""grams"": 150.0, ""calories"": 380.0, ""fat"": 15.0, ""carb"": 45.0, ""protein"": 18.0}], ""total_calories"": 712.0, ""total_mass"": 570.0, ""total_fat"": 26.7, ""total_carb"": 73.4, ""total_protein"": 49.7}"
dish_1562689548,gemini-2.5-flash,ok,,dish_1562689548,test,True,True,216.540009,200.000000,16.540009,7.638315,19.500000,21.500000,2.000000,10.256410,18.101999,19.100000,0.998001,5.513209,7.533000,6.100000,1.433000,19.022966,267.000000,250.000000,17.000000,6.367041,"{""id"": ""dish_1562689548"", ""split"": ""test"", ""ingredients"": [{""id"": ""pineapple"", ""name"": ""pineapple"", ""grams"": 100, ""calories"": 50, ""fat"": 0.1, ""carb"": 13.1, ""protein"": 0.5}, {""id"": ""cottage cheese"", ""name"": ""cottage cheese"", ""grams"": 150, ""calories"": 150, ""fat"": 6, ""carb"": 6, ""protein"": 21}], ""total_calories"": 200, ""total_mass"": 250, ""total_fat"": 6.1, ""total_carb"": 19.1, ""total_protein"": 21.5}"
dish_1567526738,gemini-2.5-flash,ok,,dish_1567526738,test,True,True,225.159988,150.000000,75.159988,33.380704,43.299999,21.000000,22.299999,51.501154,3.031000,6.000000,2.969000,97.954470,0.866000,6.000000,5.134000,592.840647,433.000000,150.000000,283.000000,65.357968,"{""id"": ""dish_1567526738"", ""split"": ""test"", ""ingredients"": [{""id"": ""ing_10000"", ""name"": ""cottage cheese"", ""grams"": 150, ""calories"": 150, ""fat"": 6, ""carb"": 6, ""protein"": 21}], ""total_calories"": 150, ""total_mass"": 150, ""total_fat"": 6, ""total_carb"": 6, ""total_protein"": 21}"
dish_1558719401,gemini-2.5-flash,ok,,dish_1558719401,test,True,True,51.988998,86.000000,34.011002,65.419614,1.519000,3.200000,1.681000,110.664911,10.780000,19.000000,8.220000,76.252319,1.176000,1.200000,0.024000,2.040816,49.000000,100.000000,51.000000,104.081633,"{""id"": ""dish_1558719401"", ""split"": ""test"", ""ingredients"": [{""id"": ""corn on the cob"", ""name"": ""corn on the cob"", ""grams"": 100.0, ""calories"": 86.0, ""fat"": 1.2, ""carb"": 19.0, ""protein"": 3.2}], ""total_calories"": 86.0, ""total_mass"": 100.0, ""total_fat"": 1.2, ""total_carb"": 19.0, ""total_protein"": 3.2}"
dish_1565022062,gemini-2.5-flash,ok,,dish_1565022062,test,True,True,234.606583,283.000000,48.393417,20.627476,19.271049,23.900000,4.628951,24.020234,30.903877,37.100000,6.196123,20.049662,2.846122,5.100000,2.253878,79.191194,366.000000,350.000000,16.000000,4.371585,"{""id"": ""dish_1565022062"", ""split"": ""test"", ""ingredients"": [{""id"": ""ingredient_1"", ""name"": ""cottage cheese"", ""grams"": 150, ""calories"": 150, ""fat"": 4.5, ""carb"": 6, ""protein"": 21}, {""id"": ""ingredient_2"", ""name"": ""sweet potato"", ""grams"": 100, ""calories"": 86, ""fat"": 0.1, ""carb"": 20.1, ""protein"": 1.6}, {""id"": ""ingredient_3"", ""name"": ""blackberries"", ""grams"": 50, ""calories"": 21, ""fat"": 0.2, ""carb"": 4.9, ""protein"": 0.7}, {""id"": ""ingredient_4"", ""name"": ""raspberries"", ""grams"": 50, ""calories"": 26, ""fat"": 0.3, ""carb"": 6.1, ""protein"": 0.6}], ""total_calories"": 283, ""total_mass"": 350, ""total_fat"": 5.1, ""total_carb"": 37.1, ""total_protein"": 23.9}"
dish_1564073677,gemini-2.5-flash,ok,,dish_1564073677,test,True,True,108.967804,277.000000,168.032196,154.203526,4.507317,13.000000,8.492683,188.419918,9.771708,31.000000,21.228292,217.242390,5.668293,10.200000,4.531707,79.948355,92.000000,250.000000,158.000000,171.739130,"{""id"": ""dish_1564073677"", ""split"": ""test"", ""ingredients"": [{""id"": ""ingr_13000"", ""name"": ""scrambled eggs"", ""grams"": 100.0, ""calories"": 148.0, ""fat"": 10.0, ""carb"": 1.0, ""protein"": 11.0}, {""id"": ""ingr_13001"", ""name"": ""sweet potato"", ""grams"": 150.0, ""calories"": 129.0, ""fat"": 0.2, ""carb"": 30.0, ""protein"": 2.0}], ""total_calories"": 277.0, ""total_mass"": 250.0, ""total_fat"": 10.2, ""total_carb"": 31.0, ""total_protein"": 13.0}"
